<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,1,20200826,100000,127000.0000000,127140.0000000,126570.0000000,126610.0000000,4237
SPFB.RTS,1,20200826,100100,126610.0000000,126790.0000000,126410.0000000,126610.0000000,4358
SPFB.RTS,1,20200826,100200,126600.0000000,126670.0000000,126510.0000000,126550.0000000,2513
SPFB.RTS,1,20200826,100300,126560.0000000,126670.0000000,126460.0000000,126500.0000000,3279
SPFB.RTS,1,20200826,100400,126510.0000000,126670.0000000,126450.0000000,126620.0000000,3270
SPFB.RTS,1,20200826,100500,126610.0000000,126700.0000000,126540.0000000,126700.0000000,1926
SPFB.RTS,1,20200826,100600,126690.0000000,126890.0000000,126640.0000000,126850.0000000,3069
SPFB.RTS,1,20200826,100700,126840.0000000,126920.0000000,126770.0000000,126770.0000000,2165
SPFB.RTS,1,20200826,100800,126770.0000000,126820.0000000,126720.0000000,126780.0000000,1659
SPFB.RTS,1,20200826,100900,126790.0000000,126890.0000000,126770.0000000,126800.0000000,1625
SPFB.RTS,1,20200826,101000,126800.0000000,126850.0000000,126700.0000000,126790.0000000,1935
SPFB.RTS,1,20200826,101100,126790.0000000,126790.0000000,126720.0000000,126750.0000000,787
SPFB.RTS,1,20200826,101200,126740.0000000,126910.0000000,126720.0000000,126880.0000000,1546
SPFB.RTS,1,20200826,101300,126880.0000000,127000.0000000,126840.0000000,126860.0000000,1901
SPFB.RTS,1,20200826,101400,126860.0000000,126940.0000000,126840.0000000,126870.0000000,716
SPFB.RTS,1,20200826,101500,126880.0000000,126890.0000000,126810.0000000,126810.0000000,627
SPFB.RTS,1,20200826,101600,126810.0000000,126970.0000000,126710.0000000,126950.0000000,2048
SPFB.RTS,1,20200826,101700,126960.0000000,127110.0000000,126850.0000000,127050.0000000,2169
SPFB.RTS,1,20200826,101800,127060.0000000,127100.0000000,126960.0000000,127010.0000000,1118
SPFB.RTS,1,20200826,101900,127010.0000000,127020.0000000,126940.0000000,126960.0000000,639
SPFB.RTS,1,20200826,102000,126960.0000000,127190.0000000,126940.0000000,127140.0000000,2116
SPFB.RTS,1,20200826,102100,127150.0000000,127270.0000000,127140.0000000,127250.0000000,2323
SPFB.RTS,1,20200826,102200,127250.0000000,127300.0000000,127230.0000000,127260.0000000,1527
SPFB.RTS,1,20200826,102300,127260.0000000,127290.0000000,127200.0000000,127220.0000000,1065
SPFB.RTS,1,20200826,102400,127210.0000000,127240.0000000,127170.0000000,127210.0000000,560
SPFB.RTS,1,20200826,102500,127210.0000000,127290.0000000,127150.0000000,127280.0000000,2532
SPFB.RTS,1,20200826,102600,127290.0000000,127340.0000000,127220.0000000,127220.0000000,2444
SPFB.RTS,1,20200826,102700,127220.0000000,127340.0000000,127220.0000000,127290.0000000,1299
SPFB.RTS,1,20200826,102800,127300.0000000,127380.0000000,127250.0000000,127250.0000000,1226
SPFB.RTS,1,20200826,102900,127250.0000000,127290.0000000,127220.0000000,127260.0000000,570
SPFB.RTS,1,20200826,103000,127240.0000000,127280.0000000,127200.0000000,127270.0000000,807
SPFB.RTS,1,20200826,103100,127280.0000000,127350.0000000,127280.0000000,127290.0000000,724
SPFB.RTS,1,20200826,103200,127270.0000000,127350.0000000,127230.0000000,127240.0000000,804
SPFB.RTS,1,20200826,103300,127250.0000000,127270.0000000,127120.0000000,127130.0000000,1534
SPFB.RTS,1,20200826,103400,127130.0000000,127230.0000000,127120.0000000,127200.0000000,890
SPFB.RTS,1,20200826,103500,127190.0000000,127240.0000000,127170.0000000,127170.0000000,470
SPFB.RTS,1,20200826,103600,127170.0000000,127170.0000000,127040.0000000,127080.0000000,1828
SPFB.RTS,1,20200826,103700,127080.0000000,127100.0000000,127040.0000000,127090.0000000,586
SPFB.RTS,1,20200826,103800,127080.0000000,127150.0000000,127040.0000000,127050.0000000,914
SPFB.RTS,1,20200826,103900,127040.0000000,127040.0000000,126930.0000000,126950.0000000,1479
SPFB.RTS,1,20200826,104000,126960.0000000,127080.0000000,126950.0000000,127060.0000000,766
SPFB.RTS,1,20200826,104100,127040.0000000,127110.0000000,126910.0000000,126930.0000000,955
SPFB.RTS,1,20200826,104200,126920.0000000,126920.0000000,126740.0000000,126770.0000000,2544
SPFB.RTS,1,20200826,104300,126770.0000000,126770.0000000,126640.0000000,126650.0000000,1744
SPFB.RTS,1,20200826,104400,126650.0000000,126790.0000000,126640.0000000,126770.0000000,903
SPFB.RTS,1,20200826,104500,126760.0000000,126890.0000000,126710.0000000,126810.0000000,1241
SPFB.RTS,1,20200826,104600,126800.0000000,126910.0000000,126800.0000000,126910.0000000,497
SPFB.RTS,1,20200826,104700,126900.0000000,126910.0000000,126800.0000000,126900.0000000,1113
SPFB.RTS,1,20200826,104800,126900.0000000,126930.0000000,126750.0000000,126750.0000000,889
SPFB.RTS,1,20200826,104900,126760.0000000,126780.0000000,126660.0000000,126660.0000000,1360
SPFB.RTS,1,20200826,105000,126660.0000000,126740.0000000,126570.0000000,126690.0000000,2047
SPFB.RTS,1,20200826,105100,126680.0000000,126720.0000000,126570.0000000,126600.0000000,1034
SPFB.RTS,1,20200826,105200,126590.0000000,126630.0000000,126480.0000000,126520.0000000,1417
SPFB.RTS,1,20200826,105300,126510.0000000,126570.0000000,126470.0000000,126480.0000000,1301
SPFB.RTS,1,20200826,105400,126480.0000000,126510.0000000,126280.0000000,126280.0000000,4117
SPFB.RTS,1,20200826,105500,126280.0000000,126350.0000000,126230.0000000,126280.0000000,1873
SPFB.RTS,1,20200826,105600,126280.0000000,126360.0000000,126260.0000000,126340.0000000,893
SPFB.RTS,1,20200826,105700,126330.0000000,126450.0000000,126320.0000000,126410.0000000,1527
SPFB.RTS,1,20200826,105800,126400.0000000,126420.0000000,126260.0000000,126280.0000000,1020
SPFB.RTS,1,20200826,105900,126260.0000000,126360.0000000,126250.0000000,126260.0000000,1314
SPFB.RTS,1,20200826,110000,126260.0000000,126360.0000000,126200.0000000,126200.0000000,1742
SPFB.RTS,1,20200826,110100,126200.0000000,126220.0000000,126090.0000000,126140.0000000,2532
SPFB.RTS,1,20200826,110200,126150.0000000,126240.0000000,126130.0000000,126140.0000000,1434
SPFB.RTS,1,20200826,110300,126140.0000000,126150.0000000,126010.0000000,126050.0000000,1587
SPFB.RTS,1,20200826,110400,126060.0000000,126060.0000000,125910.0000000,125970.0000000,2925
SPFB.RTS,1,20200826,110500,125960.0000000,126070.0000000,125900.0000000,126040.0000000,2236
SPFB.RTS,1,20200826,110600,126050.0000000,126050.0000000,125830.0000000,125830.0000000,1837
SPFB.RTS,1,20200826,110700,125830.0000000,125850.0000000,125720.0000000,125740.0000000,2442
SPFB.RTS,1,20200826,110800,125740.0000000,125780.0000000,125690.0000000,125770.0000000,1504
SPFB.RTS,1,20200826,110900,125780.0000000,125970.0000000,125770.0000000,125950.0000000,2747
SPFB.RTS,1,20200826,111000,125950.0000000,125990.0000000,125870.0000000,125930.0000000,1296
SPFB.RTS,1,20200826,111100,125930.0000000,126030.0000000,125910.0000000,125990.0000000,1455
SPFB.RTS,1,20200826,111200,125990.0000000,126040.0000000,125970.0000000,126030.0000000,1007
SPFB.RTS,1,20200826,111300,126020.0000000,126140.0000000,126010.0000000,126110.0000000,1573
SPFB.RTS,1,20200826,111400,126110.0000000,126130.0000000,126080.0000000,126120.0000000,811
SPFB.RTS,1,20200826,111500,126110.0000000,126170.0000000,126060.0000000,126110.0000000,1498
SPFB.RTS,1,20200826,111600,126100.0000000,126140.0000000,126020.0000000,126060.0000000,1135
SPFB.RTS,1,20200826,111700,126060.0000000,126160.0000000,126050.0000000,126160.0000000,584
SPFB.RTS,1,20200826,111800,126160.0000000,126210.0000000,126110.0000000,126190.0000000,997
SPFB.RTS,1,20200826,111900,126200.0000000,126280.0000000,126200.0000000,126250.0000000,914
SPFB.RTS,1,20200826,112000,126260.0000000,126350.0000000,126250.0000000,126290.0000000,1595
SPFB.RTS,1,20200826,112100,126300.0000000,126320.0000000,126220.0000000,126270.0000000,1205
SPFB.RTS,1,20200826,112200,126250.0000000,126280.0000000,126170.0000000,126180.0000000,682
SPFB.RTS,1,20200826,112300,126180.0000000,126220.0000000,126130.0000000,126190.0000000,844
SPFB.RTS,1,20200826,112400,126190.0000000,126270.0000000,126130.0000000,126130.0000000,967
SPFB.RTS,1,20200826,112500,126130.0000000,126190.0000000,126080.0000000,126170.0000000,770
SPFB.RTS,1,20200826,112600,126180.0000000,126250.0000000,126150.0000000,126200.0000000,578
SPFB.RTS,1,20200826,112700,126190.0000000,126260.0000000,126170.0000000,126230.0000000,370
SPFB.RTS,1,20200826,112800,126240.0000000,126330.0000000,126240.0000000,126280.0000000,905
SPFB.RTS,1,20200826,112900,126290.0000000,126390.0000000,126260.0000000,126380.0000000,973
SPFB.RTS,1,20200826,113000,126380.0000000,126470.0000000,126350.0000000,126450.0000000,1603
SPFB.RTS,1,20200826,113100,126460.0000000,126550.0000000,126450.0000000,126500.0000000,1655
SPFB.RTS,1,20200826,113200,126520.0000000,126600.0000000,126500.0000000,126560.0000000,1726
SPFB.RTS,1,20200826,113300,126570.0000000,126570.0000000,126480.0000000,126500.0000000,1038
SPFB.RTS,1,20200826,113400,126500.0000000,126570.0000000,126480.0000000,126500.0000000,671
SPFB.RTS,1,20200826,113500,126490.0000000,126530.0000000,126470.0000000,126500.0000000,1122
SPFB.RTS,1,20200826,113600,126500.0000000,126590.0000000,126490.0000000,126520.0000000,797
SPFB.RTS,1,20200826,113700,126510.0000000,126710.0000000,126510.0000000,126690.0000000,1836
SPFB.RTS,1,20200826,113800,126700.0000000,126730.0000000,126620.0000000,126640.0000000,838
SPFB.RTS,1,20200826,113900,126640.0000000,126660.0000000,126620.0000000,126660.0000000,258
SPFB.RTS,1,20200826,114000,126650.0000000,126670.0000000,126590.0000000,126600.0000000,929
SPFB.RTS,1,20200826,114100,126600.0000000,126620.0000000,126530.0000000,126580.0000000,1115
SPFB.RTS,1,20200826,114200,126570.0000000,126580.0000000,126520.0000000,126530.0000000,563
SPFB.RTS,1,20200826,114300,126540.0000000,126540.0000000,126490.0000000,126500.0000000,650
SPFB.RTS,1,20200826,114400,126510.0000000,126510.0000000,126430.0000000,126440.0000000,860
SPFB.RTS,1,20200826,114500,126430.0000000,126460.0000000,126320.0000000,126330.0000000,1480
SPFB.RTS,1,20200826,114600,126330.0000000,126360.0000000,126280.0000000,126330.0000000,1346
SPFB.RTS,1,20200826,114700,126340.0000000,126510.0000000,126340.0000000,126480.0000000,1359
SPFB.RTS,1,20200826,114800,126470.0000000,126600.0000000,126470.0000000,126590.0000000,1079
SPFB.RTS,1,20200826,114900,126570.0000000,126570.0000000,126450.0000000,126460.0000000,609
SPFB.RTS,1,20200826,115000,126460.0000000,126580.0000000,126430.0000000,126550.0000000,635
SPFB.RTS,1,20200826,115100,126560.0000000,126600.0000000,126540.0000000,126560.0000000,633
SPFB.RTS,1,20200826,115200,126560.0000000,126570.0000000,126470.0000000,126500.0000000,500
